epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.375,1.32197,1.31206,1.08002,0.56251,0.47077,0.47264,0.25837,1.81908,2.25054,1.31404,0.000414855,0.000414855,0.000414855
2,417.038,1.33301,1.0607,1.08453,0.61495,0.45995,0.50526,0.26697,1.82868,2.37587,1.32661,0.000814849,0.000814849,0.000814849
3,593.943,1.31646,0.9549,1.10698,0.63941,0.49575,0.50901,0.2696,1.81893,2.39463,1.32405,0.00110364,0.00110364,0.00110364
4,851.266,1.31567,0.9516,1.09251,0.61034,0.45569,0.47791,0.25763,1.89277,2.74508,1.3756,0.000994942,0.000994942,0.000994942
5,1146.85,1.253,0.85339,1.06596,0.63819,0.47412,0.51675,0.28762,1.85153,2.3938,1.322,0.000738695,0.000738695,0.000738695
6,1433.81,1.22473,0.79243,1.03932,0.70015,0.54026,0.60683,0.33824,1.84434,2.10928,1.32826,0.000394465,0.000394465,0.000394465
7,1613.09,1.17706,0.73109,1.02571,0.7352,0.56182,0.6407,0.3715,1.78393,1.96551,1.27739,0.000193728,0.000193728,0.000193728
8,1771.99,1.152,0.69454,1.01257,0.72455,0.54521,0.6217,0.35806,1.78104,2.12483,1.27917,5.95995e-05,5.95995e-05,5.95995e-05
