epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,980.696,1.63568,1.18144,1.51514,0.7754,0.73324,0.79796,0.48282,1.44405,1.02201,1.45805,0.0700098,0.00333224,0.00333224
2,2767.52,1.63272,1.18625,1.51178,0.75643,0.7227,0.78917,0.48935,1.43403,1.00626,1.43657,0.0390434,0.00569919,0.00569919
3,3837.93,1.57202,1.09123,1.4758,0.79099,0.74327,0.81757,0.51692,1.39937,0.94713,1.41312,0.0242427,0.00200231,0.00200231
