epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.5,3.55126,4.05587,3.79232,0.0087,0.10502,0.00558,0.00155,3.51927,11.7486,3.48839,0.000415759,0.000415759,0.000415759
2,480.062,2.74158,2.9504,2.7641,0.18676,0.18811,0.11609,0.04114,2.84977,3.35396,2.84765,0.000711739,0.000711739,0.000711739
3,695.451,2.26862,2.33111,2.27389,0.24293,0.21982,0.14719,0.05828,2.80802,3.42184,2.77057,0.000630792,0.000630792,0.000630792
4,933.062,2.08769,2.08574,2.11009,0.29973,0.24768,0.18961,0.08086,2.71985,3.27433,2.71922,0.000193728,0.000193728,0.000193728
