epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.763,3.6039,4.41471,3.9308,0.00515,0.16001,0.00332,0.00082,3.59259,4.60293,3.58762,0.000415305,0.000415305,0.000415305
2,529.642,2.99062,3.49236,3.03292,0.11246,0.17355,0.0505,0.01584,3.18233,124.084,3.19828,0.000800623,0.000800623,0.000800623
3,704.432,2.55467,2.92376,2.53754,0.22598,0.17715,0.09684,0.03425,2.86504,3.72324,2.82706,0.00101593,0.00101593,0.00101593
4,1053.44,2.27401,2.54655,2.26505,0.26146,0.26859,0.17717,0.07235,2.53443,3.65585,2.48627,0.000868035,0.000868035,0.000868035
5,1218.57,2.12241,2.23401,2.09751,0.28586,0.2729,0.19802,0.08487,2.51113,3.36094,2.45632,0.000493565,0.000493565,0.000493565
6,1422.93,2.04334,2.11316,2.03184,0.29568,0.26998,0.18564,0.08006,2.53799,3.3524,2.48001,0.000394465,0.000394465,0.000394465
7,1589.93,1.9826,2.01073,1.96394,0.34929,0.27966,0.23266,0.10603,2.46201,3.13477,2.42167,0.000193728,0.000193728,0.000193728
8,1852.15,1.95522,1.96508,1.94021,0.35202,0.27456,0.23472,0.10778,2.4565,3.05197,2.39039,5.95995e-05,5.95995e-05,5.95995e-05
