epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,860.196,4.00933,5.08858,3.96161,0.10513,0.07814,0.03524,0.01109,1.53521,34.336,1.48547,0.00333205,0.00333205,0.00333205
2,1654.89,2.70249,3.14538,2.34382,0.43893,0.39564,0.36734,0.16156,1.07058,9.88281,0.92057,0.0066092,0.0066092,0.0066092
3,2447,2.28801,2.34358,1.93195,0.58155,0.49929,0.53365,0.27656,0.91374,4.79772,0.79099,0.00970023,0.00970023,0.00970023
4,3224.77,2.11167,1.96779,1.77127,0.6705,0.56579,0.62682,0.35023,0.84134,2.27179,0.73422,0.00933683,0.00933683,0.00933683
5,4017,1.99368,1.72449,1.68663,0.68791,0.56135,0.63899,0.37025,0.8227,1.2531,0.71855,0.00884192,0.00884192,0.00884192
6,4791.97,1.93035,1.59033,1.62286,0.72414,0.58764,0.67322,0.40627,0.77776,1.13141,0.68499,0.0082318,0.0082318,0.0082318
7,5562.91,1.87188,1.47793,1.57876,0.75247,0.6631,0.74752,0.45002,0.76839,0.88432,0.66749,0.00775739,0.00775739,0.00775739
8,6336.43,1.82675,1.4042,1.54477,0.78348,0.6947,0.77705,0.4827,0.74482,0.94905,0.65751,0.00703839,0.00703839,0.00703839
9,7117,1.79126,1.34191,1.52429,0.79376,0.7295,0.8104,0.50777,0.72409,0.77997,0.64488,0.00626515,0.00626515,0.00626515
10,7903.44,1.69881,1.22475,1.4616,0.79844,0.75847,0.83659,0.52818,0.71035,0.67975,0.63358,0.00545877,0.00545877,0.00545877
11,8683.74,1.66946,1.16361,1.43647,0.81688,0.76454,0.84247,0.53611,0.70908,0.66653,0.63143,0.00464123,0.00464123,0.00464123
12,9471.78,1.62009,1.12224,1.40841,0.82736,0.7568,0.83926,0.54032,0.69737,0.57742,0.62404,0.00383485,0.00383485,0.00383485
13,10254.8,1.59155,1.06771,1.38513,0.82549,0.74656,0.83355,0.54242,0.68787,0.59952,0.61757,0.00306161,0.00306161,0.00306161
14,11038.4,1.56353,1.03404,1.36916,0.83181,0.79062,0.86358,0.56271,0.67928,0.52841,0.61302,0.00234261,0.00234261,0.00234261
15,11826.4,1.53363,0.99914,1.3549,0.84326,0.77995,0.86674,0.56641,0.67567,0.51194,0.61002,0.00169746,0.00169746,0.00169746
16,12606,1.52247,0.97799,1.34167,0.83882,0.79199,0.86973,0.57654,0.66838,0.4731,0.60528,0.00114375,0.00114375,0.00114375
17,13384.3,1.5008,0.95726,1.32971,0.83809,0.79555,0.86968,0.57633,0.67241,0.48089,0.6063,0.000696605,0.000696605,0.000696605
18,14158,1.48362,0.94224,1.31604,0.84117,0.79964,0.87358,0.57991,0.67103,0.49101,0.60441,0.000368205,0.000368205,0.000368205
19,14415,1.47672,0.93253,1.3104,0.84544,0.79672,0.87564,0.58123,0.66895,0.47282,0.60359,0.000167512,0.000167512,0.000167512
