epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2239.72,1.28155,0.69015,0.99968,0.87407,0.86966,0.92283,0.65863,0.55423,0.34482,0.47474,0.00333108,0.00333108,0.00333108
2,4171.36,1.28898,0.69764,1.00069,0.86821,0.86178,0.9155,0.64462,0.56851,0.45587,0.47779,0.00656856,0.00656856,0.00656856
3,6027.26,1.35064,0.75944,1.01985,0.85905,0.84175,0.90344,0.6153,0.60866,0.5437,0.48932,0.00950766,0.00950766,0.00950766
4,8494.81,1.4059,0.80998,1.0401,0.86299,0.84154,0.8998,0.61695,0.58518,0.6373,0.48398,0.00905463,0.00905463,0.00905463
5,10862.4,1.37987,0.76632,1.02022,0.86233,0.84166,0.90616,0.61627,0.59352,0.59294,0.48555,0.00813627,0.00813627,0.00813627
6,12718.7,1.34285,0.73804,1.00401,0.86711,0.86192,0.91624,0.63045,0.58717,0.60783,0.48385,0.00719772,0.00719772,0.00719772
7,14573,1.31248,0.70891,0.9937,0.87348,0.85876,0.9199,0.64595,0.57521,0.34735,0.48107,0.00615148,0.00615148,0.00615148
8,17525,1.26489,0.67172,0.98275,0.87762,0.85597,0.92128,0.6503,0.56807,0.35248,0.4793,0.00505,0.00505,0.00505
9,19404.9,1.22743,0.64304,0.96745,0.88554,0.86524,0.92803,0.6596,0.55824,0.41436,0.47598,0.00394852,0.00394852,0.00394852
10,21234.5,1.19091,0.61533,0.95378,0.88092,0.88249,0.9347,0.67437,0.544,0.32246,0.47158,0.00290228,0.00290228,0.00290228
11,23068.4,1.15437,0.58528,0.94082,0.88554,0.88064,0.93503,0.67863,0.53766,0.38287,0.47112,0.00196373,0.00196373,0.00196373
12,24910.6,1.12509,0.56339,0.93163,0.89587,0.87298,0.93586,0.68218,0.53414,0.29453,0.46974,0.00117993,0.00117993,0.00117993
13,26746.7,1.10035,0.54426,0.92433,0.89408,0.87896,0.93888,0.68829,0.52867,0.29031,0.46854,0.000590204,0.000590204,0.000590204
14,28667.1,1.08322,0.53328,0.92164,0.89597,0.87523,0.93895,0.69027,0.52467,0.28469,0.46758,0.000224107,0.000224107,0.000224107
