epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3443.13,1.68436,1.30179,1.58331,0.75023,0.73423,0.78335,0.4666,1.48574,1.07587,1.47455,0.00333224,0.00333224,0.00333224
2,4787.66,1.6828,1.29365,1.56515,0.75942,0.70757,0.78369,0.48042,1.4459,1.10585,1.43852,0.00603544,0.00603544,0.00603544
3,5665.28,1.66668,1.28667,1.55692,0.74426,0.7311,0.77418,0.47102,1.45356,1.00512,1.43314,0.00813539,0.00813539,0.00813539
4,6446.37,1.62686,1.22249,1.5254,0.7832,0.73138,0.80174,0.50308,1.39729,0.96999,1.39712,0.00694428,0.00694428,0.00694428
5,7379.71,1.57448,1.1402,1.48965,0.80484,0.76289,0.83088,0.53282,1.34518,0.89911,1.36033,0.00590956,0.00590956,0.00590956
6,12235.3,1.53196,1.07687,1.4503,0.82134,0.79015,0.85992,0.5624,1.32716,0.85124,1.33672,0.00505,0.00505,0.00505
7,12967.6,1.47924,0.99862,1.40993,0.83007,0.77662,0.85972,0.57008,1.28974,0.82478,1.30963,0.00154982,0.00154982,0.00154982
8,13801.7,1.45102,0.96478,1.39855,0.84148,0.79887,0.87274,0.58484,1.26507,0.7965,1.29589,0.000476796,0.000476796,0.000476796
