epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,15569.6,1.68602,1.26091,1.56771,0.75721,0.71249,0.7786,0.46521,1.4989,1.07185,1.50952,0.000657963,0.000657963,0.000657963
18,21729.6,1.66388,1.23201,1.55798,0.76146,0.71967,0.78366,0.47443,1.47469,1.0544,1.49396,0.000620555,0.000620555,0.000620555
19,23300.4,1.64953,1.20653,1.53755,0.76535,0.73144,0.79227,0.48137,1.47223,1.03787,1.48694,0.000352037,0.000352037,0.000352037
20,24192.4,1.63597,1.19676,1.52896,0.77573,0.72972,0.79745,0.48651,1.46058,1.03256,1.47809,0.000303665,0.000303665,0.000303665
21,25128.4,1.57052,1.16625,1.51496,0.77537,0.73354,0.80456,0.49195,1.45878,1.01798,1.47301,0.0002575,0.0002575,0.0002575
22,25988.9,1.55625,1.14196,1.51144,0.78406,0.72202,0.80129,0.49198,1.45563,1.02341,1.47074,0.000243163,0.000243163,0.000243163
23,26775.9,1.54517,1.1245,1.50393,0.78066,0.72985,0.80469,0.49679,1.44029,1.00722,1.46038,0.000202008,0.000202008,0.000202008
24,27595.2,1.54048,1.12226,1.49798,0.78993,0.73078,0.80914,0.50009,1.43857,0.99566,1.45812,0.000163961,0.000163961,0.000163961
25,28398.5,1.53262,1.11055,1.49065,0.78812,0.73546,0.81109,0.50295,1.43239,0.99599,1.45277,0.000154982,0.000154982,0.000154982
26,29195.1,1.52469,1.0997,1.49085,0.79786,0.73184,0.81314,0.50421,1.43083,0.98522,1.45203,0.00012236,0.00012236,0.00012236
27,30013.2,1.52425,1.09996,1.48409,0.78658,0.73917,0.8112,0.50329,1.42965,0.98533,1.4488,0.000115904,0.000115904,0.000115904
28,30862.7,1.51672,1.09282,1.48012,0.77796,0.74771,0.81485,0.50662,1.42665,0.97926,1.44814,8.85795e-05,8.85795e-05,8.85795e-05
29,32719.8,1.51452,1.08937,1.47763,0.78829,0.74315,0.81573,0.50851,1.42192,0.97773,1.4452,6.50265e-05,6.50265e-05,6.50265e-05
30,33554.3,1.51652,1.08299,1.47697,0.7943,0.74363,0.81842,0.51007,1.4228,0.9725,1.44423,3.13145e-05,3.13145e-05,3.13145e-05
31,34382.5,1.51704,1.086,1.47748,0.78911,0.74151,0.81628,0.5087,1.42381,0.97434,1.4441,3.0051e-05,3.0051e-05,3.0051e-05
32,35260.7,1.51177,1.07926,1.47572,0.79441,0.74118,0.81866,0.51039,1.42011,0.96987,1.44277,1.89453e-05,1.89453e-05,1.89453e-05
33,36060.4,1.51512,1.08109,1.47272,0.7911,0.74455,0.81755,0.50983,1.42014,0.97135,1.442,1.22414e-05,1.22414e-05,1.22414e-05
