epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.402,3.59945,4.18229,3.86747,0.01132,0.15081,0.00789,0.002,3.46566,inf,3.58471,0.000415305,0.000415305,0.000415305
2,395.177,2.75763,2.94244,2.77288,0.22629,0.20098,0.11419,0.04092,2.82109,3.56935,2.84249,0.00075332,0.00075332,0.00075332
3,569.559,2.28028,2.34857,2.26156,0.27621,0.22187,0.16191,0.06535,2.69965,3.59585,2.75329,0.000821558,0.000821558,0.000821558
4,859.966,2.08384,2.07181,2.06772,0.27316,0.28835,0.19347,0.08349,2.64644,3.73071,2.69917,0.000440046,0.000440046,0.000440046
5,960.454,2.05349,1.9538,1.98373,0.29939,0.27038,0.19738,0.08537,2.6101,3.6103,2.66034,0.000130671,0.000130671,0.000130671
